DATE,Cocoa,Sugar,Arabica Coffee
1/1/2010,3522.103953,21.90526316,154.4052632
2/1/2010,3276.558374,21.97894737,155.9210526
3/1/2010,3089.653557,18.14782609,162.1521739
4/1/2010,3221.227962,16.88571429,171.0736842
5/1/2010,3165.737288,15.105,174.0277778
6/1/2010,3230.824886,16.3,193.5240909
7/1/2010,3229.546365,17.69,205.2471429
8/1/2010,3071.71086,18.60363636,212.7995455
9/1/2010,2874.978792,22.66952381,222.1
10/1/2010,2927.450864,26.94380952,215.8371429
11/1/2010,2910.308627,26.42047619,227.9595
12/1/2010,3047.056691,28.04090909,237.328
1/1/2011,3164.483796,29.73684211,262.9447368
2/1/2011,3471.097367,29.30631579,288.0831579
3/1/2011,3392.965838,25.9,294.4834783
4/1/2011,3113.504606,23.903,302.7094737
5/1/2011,3070.76755,21.84095238,293.057619
6/1/2011,3015.635235,24.92454545,277.7777273
7/1/2011,3167.180196,29.471,269.18
8/1/2011,3064.31037,28.87434783,273.5421739
9/1/2011,2873.87781,26.63857143,275.5845455
10/1/2011,2680.041356,26.29857143,248.4928571
11/1/2011,2527.421547,24.51761905,249.504
12/1/2011,2200.603221,23.4152381,243.1446667
1/1/2012,2307.755657,24.0205,240.89
2/1/2012,2356.238364,23.416,225.494
3/1/2012,2359.249275,23.78818182,201.8509091
4/1/2012,2266.784557,22.477,193.351
5/1/2012,2113.08273,20.26545455,186.3459091
6/1/2012,2265.841866,20.09809524,169.7895238
7/1/2012,2349.819283,22.75714286,190.7728571
8/1/2012,2512.260353,20.56130435,175.9669565
9/1/2012,2620.282893,20.20631579,179.6031579
10/1/2012,2463.536057,20.38869565,172.3740909
11/1/2012,2478.159419,19.31333333,160.6425
12/1/2012,2431.822218,19.202,154.22375
1/1/2013,2275.43356,18.84571429,158.2728571
2/1/2013,2197.700318,18.20789474,152.9984211
3/1/2013,2153.357409,18.339,153.0115789
4/1/2013,2294.719571,17.66227273,152.9595455
5/1/2013,2345.727425,17.42636364,151.4254545
6/1/2013,2283.58201,16.956,138.855
7/1/2013,2308.525906,17.09636364,138.4395238
8/1/2013,2483.604135,17.24409091,135.63
9/1/2013,2616.043206,17.619,132.78
10/1/2013,2730.695503,18.8126087,128.8282609
11/1/2013,2755.169011,17.7485,122.7484211
12/1/2013,2824.539585,16.5447619,126.7371429
1/1/2014,2819.424452,15.70761905,135.0333333
2/1/2014,2992.763171,16.88526316,176.2763158
3/1/2014,3041.667165,17.88809524,216.0595238
4/1/2014,3050.608437,18.2147619,226.9852381
5/1/2014,3029.996105,18.24047619,215.2380952
6/1/2014,3174.302823,18.24190476,198.9109524
7/1/2014,3196.033245,18.73045455,198.5909091
8/1/2014,3270.261551,17.71761905,214.5
9/1/2014,3221.259769,16.54428571,212.0052381
10/1/2014,3100.823089,16.47565217,227.0595652
11/1/2014,2909.089735,15.87894737,212.9261111
12/1/2014,2946.94182,14.99227273,200.59
1/1/2015,2915.601801,15.0625,190.8983333
2/1/2015,2961.935201,14.51210526,179.94
3/1/2015,2878.028926,12.84090909,160.0222727
4/1/2015,2868.27217,12.91095238,164.9519048
5/1/2015,3095.994279,12.7035,158.1733333
6/1/2015,3239.886148,12.11363636,159.7695455
7/1/2015,3325.959749,11.87863636,153.2922727
8/1/2015,3154.017607,10.6747619,158.7761905
9/1/2015,3278.448678,12.13714286,147.6542857
10/1/2015,3197.339841,14.14181818,153.8831818
11/1/2015,3360.840463,14.843,148.9368421
12/1/2015,3345.656219,14.76272727,149.518125
1/1/2016,2952.416087,14.36,146.3215789
2/1/2016,2916.366534,14.013,148.94
3/1/2016,3073.519138,15.95,156.9372727
4/1/2016,3078.493533,15.92904762,154.2019048
5/1/2016,3098.388584,17.39619048,155.4042857
6/1/2016,3122.750283,19.57363636,165.8490909
7/1/2016,3049.977297,19.9255,172.3525
8/1/2016,3032.488203,20.47217391,170.3421739
9/1/2016,2881.18737,21.93857143,178.0709524
10/1/2016,2711.350911,22.91666667,178.6242857
11/1/2016,2491.996599,20.86857143,185.1275
12/1/2016,2295.309672,18.83,162.1622222
1/1/2017,2195.059525,20.5375,167.8275
2/1/2017,2034.083963,20.34842105,165.5584211
3/1/2017,2063.093781,18.05956522,159.3886364
4/1/2017,1961.15731,16.40473684,155.9005263
5/1/2017,1983.484854,15.68909091,151.1786364
6/1/2017,1998.245323,13.74818182,144.0990909
